lead_id,vendor,email,cohort,role,first_seen
1288,Gong,gong.io,ai_agent_revenue_operations,opener-1-of-5,2026-07-24
1289,Clari,clari.com,ai_agent_revenue_operations,sibling-2-of-5,2026-07-24
1290,Outreach,outreach.io,ai_agent_revenue_operations,sibling-3-of-5,2026-07-24
1291,Apollo.io,apollo.io,ai_agent_revenue_operations,sibling-4-of-5,2026-07-25
1292,Fathom,fathom.video,ai_agent_meeting_intelligence,opener-1-of-5,2026-07-25
1293,Otter.ai,otter.ai,ai_agent_meeting_intelligence,sibling-2-of-5,2026-07-25
1294,Fireflies.ai,fireflies.ai,ai_agent_meeting_intelligence,sibling-3-of-5,2026-07-25
1295,tl;dv,tldv.io,ai_agent_meeting_intelligence,sibling-4-of-5,2026-07-25
1296,Read AI,read.ai,ai_agent_meeting_intelligence,closer-5-of-5,2026-07-25
1297,Vocode,vocode.dev,ai_agent_conversational_voice_ai,opener-1-of-5,2026-07-25
1298,Vapi,vapi.ai,ai_agent_conversational_voice_ai,sibling-2-of-5,2026-07-25
1299,Retell AI,retellai.com,ai_agent_conversational_voice_ai,sibling-3-of-5,2026-07-25
1300,Sierra,sierra.ai,ai_agent_conversational_voice_ai,sibling-4-of-5,2026-07-25
1301,ElevenLabs,elevenlabs.io,ai_agent_conversational_voice_ai,closer-5-of-5,2026-07-25
1302,ClickHouse,clickhouse.com,ai_agent_OLAP_analytics_database,opener-1-of-5,2026-07-25
1303,MotherDuck,motherduck.com,ai_agent_OLAP_analytics_database,sibling-2-of-5,2026-07-25
1304,StarRocks,starrocks.io,ai_agent_OLAP_analytics_database,sibling-3-of-5,2026-07-25
"1305","DuckDB","duckdb.org","ai_agent_OLAP_analytics_database","sibling-4-of-5","2026-07-25"
"1306","Apache Doris","doris.apache.org","ai_agent_OLAP_analytics_database","closer-5-of-5","2026-07-25"
